Day,Open,High,Low,Close,Volume
20151217,10240,10405,9970,10330,946156
20151218,10230,10710,10165,10710,1841150
20151221,10695,10825,10670,10720,1274858
20151222,10740,10750,10450,10495,1374974
20151223,10535,10635,10415,10425,2532341
20151224,10480,10525,10290,10295,1536790
20151228,10290,10460,10210,10305,2172665
20151229,10360,11305,10310,11305,2660830
20151230,11410,11665,11370,11625,1997046
20160104,11740,11790,10910,11110,2897533
20160105,10920,11490,10850,11400,2806972
20160106,11475,11670,11265,11630,2442595
20160107,11605,11725,11175,11290,2530064
20160108,10935,11555,10900,11510,2416206
20160111,11560,11695,11185,11185,2909709
20160112,11300,11455,11045,11050,1587807
20160113,11200,11570,11145,11570,1750578
20160114,11170,11490,11170,11445,1795910
20160115,11690,11710,11180,11230,2078426
20160118,11100,11575,11085,11575,1900821
20160119,11510,11680,11380,11550,2014000
20160120,11575,11675,10970,11280,2597290
20160121,11310,11515,11065,11340,2540576
20160122,11450,11530,11180,11450,1703580
20160125,11550,11750,11485,11740,1909205
20160126,11670,11750,11600,11655,1471323
20160127,11745,11830,11440,11490,1292401
20160128,11460,11690,11360,11660,1087344
20160129,11680,11700,11480,11680,2094332
20160201,11825,11965,11770,11945,1900368
20160202,11915,12035,11900,11985,1091072
20160203,11870,11950,11730,11870,1198021
20160204,11940,11960,11725,11875,1816405
20160205,11830,11915,11755,11795,1017645
20160211,11400,11425,10640,10645,1942021
20160212,10370,10500,9010,9100,5260268
20160215,9300,9465,9150,9375,2653066
20160216,9485,9830,9485,9750,2851225
20160217,9760,9885,9210,9225,3048053
20160218,9470,9745,9450,9745,2454560
20160219,9700,9895,9650,9865,1943008
20160222,9880,10050,9800,10040,1868660
20160223,10150,10210,9755,9755,1901064
20160224,9750,9915,9650,9805,1851468
20160225,9910,9970,9805,9870,1696748
20160226,9930,9985,9850,9950,1458661
20160229,9965,10025,9875,9970,1451563
20160302,10260,10545,10245,10545,1875080
20160303,10635,10805,10495,10800,1778087
20160304,10830,10895,10750,10835,1515112
20160307,10905,11000,10750,10770,1439385
20160308,10805,10905,10560,10740,1537589
20160309,10710,10965,10690,10950,1551176
20160310,11000,11120,11000,11015,1354410
20160311,11070,11175,10855,10975,1353834
20160314,11055,11090,10815,10815,1347411
20160315,10840,10945,10720,10825,1265517
20160316,10760,10880,10760,10815,988064
20160317,10905,10955,10825,10840,1276956
20160318,10890,10960,10870,10930,1255615
20160321,10990,11090,10865,10895,1153214
20160322,10920,10940,10795,10870,1050792
20160323,10870,10945,10805,10850,1091797
20160324,10810,10855,10740,10790,887384
20160325,10790,10795,10675,10700,951957
20160328,10700,10745,10590,10605,932592
20160329,10610,10740,10600,10740,943880
20160330,10835,10845,10780,10800,931353
20160331,10835,10860,10700,10805,1022928
20160401,10810,10935,10705,10810,1152514
20160404,10870,11075,10865,11075,1041291
20160405,11020,11085,10945,11010,853823
20160406,11015,11060,10850,10910,884923
20160407,10950,11050,10925,11030,1120022
20160408,10970,11070,10960,11035,756349
20160411,11040,11095,10740,10785,1077234
20160412,10770,10810,10675,10690,776688
20160414,10780,10910,10700,10760,909546
20160415,10805,10805,10700,10750,737138
20160418,10745,10760,10670,10740,806018
20160419,10740,10885,10740,10875,896832
20160420,10900,10975,10830,10875,784919
20160421,10910,10930,10800,10825,859133
20160422,10820,10820,10715,10740,794430
20160425,10720,10830,10720,10830,939385
20160426,10845,10920,10740,10770,897885
20160427,10780,10850,10640,10710,964506
20160428,10730,11650,10595,10595,1085650
20160429,10595,10595,10365,10585,910000
20160502,10545,10560,10170,10230,971452
20160503,10280,10490,10230,10475,961494
20160504,10420,10470,10320,10380,909751
20160509,10380,10430,10225,10290,942225
20160510,10285,10510,10280,10500,976643
20160511,10600,10655,10535,10655,1007632
20160512,10555,10675,10520,10670,962579
20160513,10670,10680,10560,10590,1099943
20160516,10555,10635,10520,10520,906346
20160517,10590,10595,10270,10340,946077
20160518,10270,10365,9990,10025,978915
20160519,10080,10085,9840,9960,1018322
20160520,9950,10175,9950,10175,862618
20160523,10235,10370,10215,10350,624462
20160524,10350,10395,10240,10240,494863
20160525,10435,10435,10330,10415,487617
20160526,10450,10450,10280,10325,471832
20160527,10325,10380,10295,10350,440233
20160530,10350,10550,10350,10545,612575
20160531,10545,10700,10540,10690,588956
20160601,10680,10800,10680,10725,428351
20160602,10730,10760,10650,10720,464892
20160603,10735,10740,10615,10715,533003
20160607,10690,10850,10690,10850,600152
20160608,10825,10990,10790,10960,524085
20160609,10975,11060,10550,10640,523162
20160610,10725,10910,10690,10910,538597
20160613,10760,10765,10475,10475,559987
20160614,10405,10515,10295,10445,425980
20160615,10440,10575,10360,10575,429991
20160616,10595,10615,10065,10195,636207
20160617,10305,10380,10020,10065,517933
20160620,10200,10310,10180,10310,530268
20160621,10325,10325,10220,10320,437116
20160622,10325,10385,10290,10340,508351
20160623,10340,10340,9985,10200,866183
20160624,10340,10390,8985,9250,2570471
20160627,8975,9360,8840,9300,2054527
20160628,9180,9570,9115,9550,1456134
20160629,9705,9815,9630,9775,1616271
20160630,9860,9915,9780,9915,869546
20160701,9960,10210,9950,10185,1025495
20160704,10270,10270,10165,10270,611933
20160705,10265,10395,10180,10395,917611
20160706,10280,10345,10045,10090,776607
20160707,10220,10475,10155,10460,792051
20160708,10480,10510,10195,10290,744425
20160711,10395,10525,10330,10520,684826
20160712,10510,10560,10425,10425,499629
20160713,10510,10595,10465,10500,544284
20160714,10505,10505,10385,10460,513498
20160715,10550,10550,10405,10405,486311
20160718,10440,10455,10370,10430,341740
20160719,10450,10500,10390,10395,367491
20160720,10415,10495,10405,10495,401327
20160721,10530,10645,10530,10635,448634
20160722,10585,10655,10555,10555,356375
20160725,10600,10645,10420,10485,394951
20160726,10495,10520,10415,10510,329417
20160727,10525,10540,10325,10415,371702
20160728,10430,10430,10235,10325,345561
20160729,10325,10435,10325,10430,368208
20160801,10415,10470,10350,10350,372314
20160802,10405,10405,10150,10150,419097
20160803,10150,10195,10030,10130,369963
20160804,10200,10270,10150,10185,335569
20160805,10250,10285,10000,10055,509201
20160808,10120,10150,10015,10150,436708
20160809,10155,10415,10155,10360,497560
20160810,10375,10715,10375,10670,756729
20160811,10700,10715,10465,10500,552979
20160812,10550,10605,10500,10550,436249
20160816,10610,10610,10460,10460,391625
20160817,10435,10435,10105,10315,577407
20160818,10345,10400,10305,10385,471116
20160819,10390,10460,10390,10425,497341
20160822,10420,10425,10170,10205,489055
20160823,10125,10300,10125,10155,421506
20160824,10235,10235,10125,10165,371805
20160825,10215,10215,10055,10070,443703
20160826,10065,10070,9925,10000,483655
20160829,9980,9980,9510,9540,1163751
20160830,9700,9730,9535,9625,825645
20160831,9640,9640,9315,9480,1295056
20160901,9475,9840,9460,9840,1046496
20160902,9900,9935,9780,9935,964090
20160905,10000,10080,9970,9985,924084
20160906,10000,10060,9900,9915,650758
20160907,9945,10005,9745,9750,731058
20160908,9785,9900,9630,9880,1047398
20160909,9805,9825,9595,9730,1034687
20160912,9520,9625,9360,9465,1136704
20160913,9575,9575,9395,9475,968912
20160919,9475,9635,9465,9635,716357
20160920,9595,9840,9580,9820,915671
20160921,9840,9945,9780,9925,864817
20160922,10015,10185,10015,10105,1181649
20160923,10185,10225,10075,10180,761745
20160926,10150,10260,10085,10085,798691
20160927,10000,10175,9975,10160,733515
20160928,10230,10230,10030,10040,449309
20160929,10090,10155,10075,10125,524255
20160930,10080,10080,9770,9835,774412
20161004,9850,9950,9790,9890,403114
20161005,9850,9920,9840,9860,363947
20161006,9890,9950,9790,9810,423412
20161007,9820,9825,9470,9495,757532
20161010,9560,9605,9450,9535,541564
20161011,9580,9620,9405,9445,724028
20161012,9430,9470,9340,9395,605612
20161013,9415,9430,9200,9230,655858
20161014,9215,9315,9215,9270,597491
20161017,9300,9300,9100,9150,742483
20161018,9150,9295,9120,9270,625075
20161019,9330,9400,9275,9355,704427
20161020,9400,9400,9175,9200,671520
20161021,9190,9270,9050,9065,1040586
20161024,9100,9125,8910,8935,753277
20161025,8965,8990,8645,8775,1956739
20161026,8820,8840,8570,8840,2455566
20161027,8850,9195,8845,9180,2422747
20161028,9165,9180,8950,8965,1795880
20161031,8900,8900,8615,8705,3673658
20161101,8655,8835,8595,8725,3176132
20161102,8660,8690,8335,8335,5206883
20161103,8300,8500,8270,8400,3343331
20161104,8385,8420,8250,8380,2466403
20161107,8525,8650,8460,8650,2560221
20161108,8730,8735,8600,8680,1933587
20161109,8745,8750,7730,8110,13637348
20161110,8410,8685,8405,8685,6200534
20161111,8580,8650,8490,8515,2369534
20161114,8500,8525,8420,8430,1347874
20161115,8405,8435,8230,8250,1814896
20161116,8385,8540,8335,8525,2103274
20161117,8525,8530,8395,8495,1563364
20161118,8530,8555,8285,8300,2022064
20161121,8265,8265,8010,8025,3003129
20161122,8100,8180,8005,8085,2495154
20161123,8100,8115,7880,7910,3533723
20161124,7905,7970,7610,7750,6011681
20161125,7740,7850,7655,7830,3197164
20161128,7850,7865,7680,7680,1997885
20161129,7670,7775,7620,7760,3394625
20161130,7785,7785,7665,7720,2530348
20161201,7710,7740,7610,7665,1580022
20161202,7620,7635,7430,7430,2476786
20161205,7360,7430,7200,7225,4027994
20161206,7300,7380,7270,7355,2760944
20161207,7355,7420,7060,7235,3985996
20161208,7320,7470,7300,7395,3604831
20161209,7375,7655,7310,7650,5282427
20161212,7770,7855,7700,7850,5385759
20161213,7850,8035,7780,8030,4793021
20161214,8100,8150,7965,8090,5610840
20161215,7970,8200,7940,8195,4792864
20161216,8200,8280,8130,8225,4247668
20161219,8220,8260,8165,8220,2423220
